movie_name,month,year,critic_vote_metacritic,meta_score_metacritic,critic_vote_rotten,meta_score_rotten,critic_vote,meta_score
Lucky Number Slevin,4,2006,36,53,154,52,190,52.19
Lucky Numbers,10,2000,30,31,97,23,127,24.89
Lucky You,5,2007,29,49,141,28,170,31.58
Lucy,7,2014,46,62,240,67,286,66.20
Lust Caution,9,2007,35,61,,,35,61.00
Luther,9,2003,23,47,62,45,85,45.54
Ma,5,2019,39,53,214,55,253,54.69
MacGruber,5,2010,24,43,153,47,177,46.46
Machete,9,2010,29,60,195,70,224,68.71
Machete Kills,10,2013,33,41,125,29,158,31.51
Machine Gun Preacher,9,2011,32,43,115,29,147,32.05
Mad Hot Ballroom,5,2005,32,71,121,84,153,81.28
Mad Max: Fury Road,1,2016,,,,,0,0
Mad Money,1,2008,31,41,106,22,137,26.30
Madagascar,5,2005,36,57,193,55,229,55.31
Madagascar 3: Europe's Most Wanted,6,2012,26,60,133,78,159,75.06
Madagascar: Escape 2 Africa,11,2008,25,61,157,64,182,63.59
Madame Web,2,2024,51,26,246,11,297,13.58
Made,7,2001,24,62,106,71,130,69.34
Made in Dagenham,11,2010,31,65,131,80,162,77.13
Made of Honor,5,2008,25,37,125,16,150,19.50
Madea's Family Reunion,2,2006,18,45,58,26,76,30.50
Madea's Witness Protection,6,2012,15,42,,,15,42.00
Magic Mike,6,2012,38,72,217,78,255,77.11
Magic Mike XXL,7,2015,40,61,240,65,280,64.43
Maid in Manhattan,12,2002,32,45,151,38,183,39.22
