movie_name,month,year,budget,runtime,genres,mpaa,screens,opening_week,domestic_box_office,international_box_office,worldwide_box_office,country
The Last House on the Left,3,2009,,110.0,Horror Thriller,R,2402,14118685.0,32752215.0,12536838.0,45289053.0,
Taken,1,2009,25000000.0,90.0,Action Crime Thriller,PG-13,3184,24717037.0,145000989.0,81836771.0,226837760.0,
State of Play,4,2009,,127.0,Crime Drama Mystery Thriller,PG-13,2807,14071280.0,37017955.0,50794416.0,87812371.0,
Observe and Report,4,2009,18000000.0,86.0,Action Comedy Crime Drama Mystery,R,2727,11017334.0,24007324.0,2966230.0,26973554.0,
Madea Goes to Jail,2,2009,,103.0,Comedy Crime Drama,PG-13,2203,41030947.0,90508336.0,,90508336.0,
Slumdog Millionaire,11,2008,15000000.0,120.0,Crime Drama Romance,R,2943,360018.0,141319928.0,237090185.0,378410113.0,
Earth,4,2009,,90.0,Documentary,,1804,8825760.0,32011576.0,76963584.0,108975160.0,
Paul Blart: Mall Cop,1,2009,26000000.0,91.0,Action Comedy Crime Family,PG,3206,31832636.0,146336178.0,37012251.0,183348429.0,
Adventureland,4,2009,,107.0,Comedy Drama Romance,R,1876,5722039.0,16044025.0,1120795.0,17164820.0,
Fighting,4,2009,,105.0,Action Crime Drama Romance Sport,PG-13,2312,11024370.0,23091010.0,9391718.0,32482728.0,
He's Just Not That Into You,2,2009,,129.0,Comedy Drama Romance,PG-13,3175,27785487.0,93953653.0,84912505.0,178866158.0,
Crank: High Voltage,4,2009,,96.0,Action Crime Thriller,R,2223,6963565.0,13684249.0,20888292.0,34572541.0,
Coraline,2,2009,60000000.0,100.0,Animation Drama Family Fantasy,PG,2320,16849640.0,75286229.0,49310608.0,124596837.0,
The Soloist,4,2009,,117.0,Biography Drama Music,PG-13,2090,9716458.0,31720158.0,6612836.0,38332994.0,
12 Rounds,3,2009,,108.0,Action Crime Thriller,PG-13,2331,5329240.0,12234694.0,5045632.0,17280326.0,
Dragonball Evolution,4,2009,,85.0,Action Adventure Fantasy Sci-Fi Thriller,PG,2181,4756488.0,9362785.0,46357987.0,55720772.0,
Confessions of a Shopaholic,2,2009,,104.0,Comedy Romance,PG,2534,15066360.0,44277350.0,64116739.0,108394089.0,
Gran Torino,12,2008,33000000.0,116.0,Drama,R,3045,271720.0,148095302.0,121862926.0,269958228.0,
Fired Up!,2,2009,20000000.0,90.0,Comedy Sport,PG-13,1811,5483778.0,17231291.0,1367811.0,18599102.0,
The Reader,12,2008,32000000.0,124.0,Drama Mystery Romance,R,1203,168051.0,34194407.0,74708079.0,108902486.0,
Jonas Brothers: The 3D Concert Experience,2,2009,,76.0,Biography Documentary Music,,1276,12510374.0,19162740.0,4024220.0,23186960.0,
Miss March,3,2009,,90.0,Comedy Romance,R,1742,2409156.0,4543320.0,48309.0,4591629.0,
Hotel for Dogs,1,2009,,100.0,Comedy Family,PG,3271,17012212.0,73034460.0,44218118.0,117252578.0,
Push,2,2009,38000000.0,111.0,Action Sci-Fi Thriller,PG-13,2313,10079109.0,31811527.0,17047091.0,48858618.0,
Friday the 13th,2,2009,19000000.0,97.0,Horror Mystery Thriller,R,3105,40570365.0,65002019.0,26507135.0,91509154.0,
The International,2,2009,50000000.0,118.0,Action Crime Drama Mystery Thriller,R,2364,9331739.0,25450527.0,34803316.0,60253843.0,
Street Fighter: The Legend of Chun-Li,2,2009,,96.0,Action Crime Fantasy Thriller,PG-13,1164,4721110.0,8742261.0,4021940.0,12764201.0,
The Pink Panther 2,2,2009,70000000.0,92.0,Action Adventure Comedy Crime Mystery,PG,3245,11588150.0,35922978.0,40102156.0,76025134.0,
The Curious Case of Benjamin Button,12,2008,150000000.0,166.0,Drama Fantasy Romance,PG-13,2988,26853816.0,127509326.0,208293460.0,335802786.0,
The Uninvited,1,2009,,87.0,Drama Fantasy Horror Mystery Thriller,PG-13,2344,10325824.0,28596818.0,13036566.0,41633384.0,
Doubt,12,2008,20000000.0,104.0,Drama Mystery,PG-13,1287,507226.0,33446470.0,18253514.0,51699984.0,
Twilight,11,2008,37000000.0,122.0,Drama Fantasy Romance,PG-13,3649,69637740.0,192769854.0,214417861.0,407227227.0,
Marley & Me,12,2008,,111.0,Drama Family,PG,3505,36357586.0,143153751.0,112589342.0,255743093.0,
Inkheart,1,2009,60000000.0,106.0,Adventure Family Fantasy,PG,2655,7601379.0,17303424.0,45499756.0,62803180.0,
Bride Wars,1,2009,30000000.0,89.0,Comedy Romance,PG,3228,21058173.0,58715510.0,56660340.0,115375850.0,
Last Chance Harvey,12,2008,,93.0,Drama Romance,PG-13,1108,97260.0,14889042.0,17677924.0,32566966.0,
Defiance,12,2008,32000000.0,137.0,Action Drama History Thriller War,R,1793,123513.0,28644813.0,22617938.0,51262751.0,
Revolutionary Road,12,2008,35000000.0,119.0,Drama Romance,R,1077,189911.0,22911480.0,53069700.0,75981180.0,
New in Town,1,2009,,97.0,Comedy Romance,PG,1941,6741530.0,16734283.0,12276534.0,29010817.0,
Frost/Nixon,12,2008,25000000.0,122.0,Biography Drama History,R,1105,180708.0,18622031.0,8804304.0,27426335.0,
Bedtime Stories,12,2008,80000000.0,99.0,Adventure Comedy Family Fantasy Romance Sci-Fi,PG,3684,27450296.0,110101975.0,102772889.0,212874864.0,
Yes Man,12,2008,70000000.0,104.0,Comedy Romance,PG-13,3434,18262471.0,97690976.0,125550661.0,223241637.0,
Valkyrie,12,2008,75000000.0,121.0,Drama History Thriller War,PG-13,2838,21027007.0,83077833.0,118467684.0,201545517.0,
The Day the Earth Stood Still,12,2008,80000000.0,104.0,Adventure Drama Sci-Fi Thriller,PG-13,3560,30480153.0,79366978.0,153726881.0,233093859.0,
